Date,Count
2015-04,790
2015-07,520
2015-10,750
2016-01,570
2016-04,515
2016-07,640
2016-10,740
2017-01,795
2017-04,630
2017-07,610
2017-10,630
2018-01,670
2018-04,630
2018-07,880
2018-10,1150
2019-01,825
2019-04,1090
2019-07,860
2019-10,1060
2020-01,1020
2020-10,1450
2021-01,1130
2021-04,1495
2021-07,1630
2021-10,3300
2022-01,2160
2022-04,2750
2022-07,2480
2022-10,2370
2023-01,1650
2023-04,1250
2023-07,1215



